"Channel Title","Channel URL","Channel ID",Position,"Video Title","Video URL","Video ID","Publish Date",Duration,Views,Description,"Thumbnail URL","Availability Status"
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,1,"Ain't No Sunshine (Bill Withers Cover) — Kasane Teto / Experimental MV | Ilya Minin (Eli)",https://www.youtube.com/watch?v=LhG2-rGY2eY,LhG2-rGY2eY,2026-09-17T17:51:00Z,03:07,194,"An experimental audiovisual reinterpretation of Bill Withers' ""Ain't No Sunshine,"" featuring Kasane Teto. A blend of surreal storytelling, uncanny liminal visuals, and dark VocalSynth arrangement.

Original Song: ""Ain't No Sunshine"" by Bill Withers
Vocal: Kasane Teto (重音テト)
Arrangement, Visuals & Video Art: Ilya Minin (Eli)

━━━━━━━━━━━━━━━━━━━━━
TIMESTAMPS:
0:00 Intro: ""The more you know...""
0:48 ""Ain't No Sunshine""
1:46 ""I Know"" (Repetition & Descent)
2:05 Outro: Fading Daylight

━━━━━━━━━━━━━━━━━━━━━
MORE EXPERIMENTAL AUDIOVISUAL WORKS:
► The Mountain Remembers: https://youtu.be/wpBQbRItMnc
► In Her 20-s (UTAU Original): https://youtu.be/OcFF8Med9fQ
► EWP Project (CG Short): https://youtu.be/gL7di-eXDmE

━━━━━━━━━━━━━━━━━━━━━
#KasaneTeto #AintNoSunshine #UTAU #VocalSynth #ExperimentalArt #IlyaMinin",https://i.ytimg.com/vi/LhG2-rGY2eY/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,2,"Happy birthday, Miku! #hatsunemiku #kasaneteto #ilyaminin",https://www.youtube.com/watch?v=sVuzaGUlmkY,sVuzaGUlmkY,2026-09-01T00:26:20Z,02:02,132,,https://i.ytimg.com/vi/sVuzaGUlmkY/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,3,"Miku's Birthday! #ilyaminin #haveitoldyoulatelythatiloveyou #kasaneteto #hatsunemiku",https://www.youtube.com/watch?v=lHztA4uf88E,lHztA4uf88E,2026-08-31T12:09:51Z,02:02,32,"On Miku's birthday, we made a special video greeting",https://i.ytimg.com/vi/lHztA4uf88E/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,4,"山は覚えている｜The Mountain Remembers — Experimental MV | Ilya Minin (Eli)",https://www.youtube.com/watch?v=wpBQbRItMnc,wpBQbRItMnc,2026-08-18T11:00:06Z,05:20,156,"山は覚えている｜The Mountain Remembers is an experimental audiovisual work created from a journey through Mount Fuji, the Fuji Five Lakes, Aokigahara, and Lake Saiko.

The film is built from places I actually visited, field recordings made during the journey, and fragments of memory. Roads, forests, shrines, tunnels, lakes, vending machines, voices and distant mechanical sounds gradually become something less like a travel diary and more like a landscape remembering itself.

山は覚えている。
私たちが忘れても。

The mountain remembers the names of lost voices.
Echoes carry them through the forest.
A lake reflects something that should not be there.
Old roads, shrines and trees become fragments of a memory that may no longer belong to anyone.

The video is intentionally fragmented. It is not a documentary of Japan, but a transformation of a journey into an imagined soundscape — somewhere between field recording, experimental music, memory and folklore.

Credits
Music / Sound Design / Video Concept / Editing:
Ilya Minin (Eli) / イリヤ・ミニン

UTAU Voicebanks:
茜音イーライ (Akane Iirai)
友人 (Eugene)
タキスマナ (Takismana)

Special Thanks:
Julia Baranyuk
Possum Eugene
小林 利充 (Toshimitsu Kobayashi)
三浦 正重 (Masagire Miura)
TB-303
ダイナキリス (DYNAKYRIS)

Places / Field Recordings:
Mount Fuji / 富士山
Fuji Five Lakes / 富士五湖
Lake Saiko / 西湖
Lake Kawaguchi / 河口湖
Lake Shojiko / 精進湖
Lake Motosuko / 本栖湖
Aokigahara Forest / 青木ヶ原樹海
Shrines, roads, tunnels and vending machines around the Fuji area

This work is part of an ongoing eli_lab project transforming journeys through Japan, field recordings, memory and encounters with places into experimental audiovisual landscapes.

The mountain does not need to speak.

It already remembers.

#山は覚えている #TheMountainRemembers #富士山 #Aokigahara #UTAU",https://i.ytimg.com/vi/wpBQbRItMnc/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,5,"EWP Project — Experimental CG Animated Short | 2023",https://www.youtube.com/watch?v=gL7di-eXDmE,gL7di-eXDmE,2026-08-16T07:32:31Z,10:00,33,"EWP Project (Festival Cut) is a 10-minute experimental CG animated short created in 2023.

A mysterious traveler returns to his transformed hometown, where familiar places have become surreal landscapes and fragmented memories. Moving between decaying urban spaces, dreamlike plains, encounters with locals and another outsider, he is forced to confront his own divided identity and the uncertain boundary between memory, perception and truth.

Rather than presenting a conventional linear narrative, EWP Project uses metaphorical storytelling, surreal environments and subconscious imagery to explore belonging, memory, personal transformation and the search for self.

The hometown becomes a psychological landscape: buildings decay, familiar spaces become strange, and recurring dreams gradually pull the protagonist deeper into a reality that may not be what it appears to be.

Festival Cut
Runtime: 10 minutes
Year: 2023
Format: Digital, 2K
Language: English
Subtitles: English / Russian
Medium: CG Animation / Experimental Film

Credits
Director / Script / Executive Producer: Ilya Minin
Stage / Art Production: Spalah
Animation / Rendering: blikk
VFX / Lighting / Consultant: Romaner
Soundtrack: sasha e b
Narration: Marysia Izdebska

Chapters
0:00 The Heat
0:45 The Demon Emerges
1:50 Echoes of a Madman
2:30 The Gray Morality
4:32 Memory of an Apartment
7:15 The Vast Plane
8:10 Encountering the Hostile
9:15 Outside of Time

The EWP Project appears online for the first time in the public archive.

Part of the eli_lab / Ilya Minin (Eli) digital art archive.

#EWPProject #CGAnimation #ExperimentalFilm #IlyaMinin #Surrealism",https://i.ytimg.com/vi/gL7di-eXDmE/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,6,"富士山六大妖怪 — Six Yokai of Mount Fuji | Saikoneon",https://www.youtube.com/watch?v=X1lK-y6ms2o,X1lK-y6ms2o,2026-08-10T12:15:06Z,05:58,80,"富士山六大妖怪 — Six Yokai of Mount Fuji is a fictional yokai documentary created as an homage to Japanese folklore programs, kaidan broadcasts, and the strange visual language of old educational television.

According to the fictional oral traditions and old records presented in the film, six yokai have lived around the foothills of Mount Fuji:

・上葉山
・水好鬼
・須賀山
・江花師
・下津賀
・保外神

The film presents these creatures through the visual language of a supposedly forgotten folkloric archive — somewhere between a documentary, a television folklore program and an unreliable memory.

This is a fictional work.

The yokai, traditions, oral histories and historical documents appearing in this video are entirely invented for the artwork. They are not real Japanese folklore, historical records, or documented traditions.

Created in Japan as part of the Saikoneon project.

Credits
Illustration / Script / Editing: イリヤ・ミニン (Ilya Minin / Eli)
Voice: ポス・ユージーン (友人 / Eugene)

Part of the ELI LAB digital art archive.

#富士山六大妖怪 #Yokai #Saikoneon #JapaneseFolklore #VideoArt",https://i.ytimg.com/vi/X1lK-y6ms2o/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,7,"20-s (二 十 歳) | Akane Iirai | UTAU Original #vocaloid #haveitoldyoulatelythatiloveyou #歌ってみた",https://www.youtube.com/watch?v=DoYyGbaN1tE,DoYyGbaN1tE,2026-07-16T18:30:37Z,00:15,153,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/DoYyGbaN1tE/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,8,"20-s (二 十 歳) | Akane Iirai | UTAU Original #vocaloid #haveitoldyoulatelythatiloveyou #歌ってみた",https://www.youtube.com/watch?v=O9Z975ee1Ns,O9Z975ee1Ns,2026-07-16T18:15:32Z,00:17,66,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/O9Z975ee1Ns/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,9,"二十歳 (In Her 20-s) — Original UTAU / Experimental Video Art | Ilya Minin (Eli)",https://www.youtube.com/watch?v=OcFF8Med9fQ,OcFF8Med9fQ,2026-07-16T18:00:07Z,03:02,85,"二十歳 (In Her 20-s) is an original UTAU audiovisual work featuring 茜音イーライ (Akane Iirai).

The piece moves through fragments of hospitals, ambulances, two moons, medication, red throats, silence and a girl who has become impossible to reach. Rather than telling a linear story, the video reconstructs a memory through distorted language, found-footage-like imagery and fragmented voices.

My ガールには二十歳。
二つの月、ゆらり揺れて。

The song circles around the question:

My ガール、今どこ？

A farewell that was never spoken becomes something suspended between memory and disappearance.

Credits
Music / Art / Video: Ilya Minin (Eli)
Vocals: 茜音イーライ (Akane Iirai)
Medium: Original UTAU / Experimental Video Art

Chapters
0:00 Intro — The Beginning
0:40 Hospital — The Ambulance
1:21 Transformation — Where Are You?
2:10 Climax — The Red Throat

Part of the ELI LAB digital art archive.

#UTAU #VocalSynth #VideoArt #ExperimentalMusic #IlyaMinin",https://i.ytimg.com/vi/OcFF8Med9fQ/hqdefault.jpg,available
"Ilya Minin (Eli)",https://www.youtube.com/@elilab,UCHGQDGcefrKtPa1kgjX20xw,10,"20-s (二 十 歳) | Akane Iirai | UTAU Original #vocaloid #haveitoldyoulatelythatiloveyou #歌ってみた",https://www.youtube.com/watch?v=qMCYjbl0u7g,qMCYjbl0u7g,2026-07-16T17:45:14Z,00:21,73,"It’s finally here! Watch the new music video on the channel.",https://i.ytimg.com/vi/qMCYjbl0u7g/hqdefault.jpg,available
